controller,time_s,position_m,velocity_mps,command_mps,compute_ms,effective_samples
aware,3.550000000,0.744970308,0.074084466,0.030852810,1.019238000,7690.444455336
aware,3.600000000,0.748577224,0.070192186,0.036995585,1.000410000,7691.666868201
aware,3.650000000,0.751983410,0.066055230,0.023809976,0.997200001,7687.386928299
aware,3.700000000,0.755209773,0.062999298,0.027355955,1.017525999,7688.694820382
aware,3.750000000,0.758256709,0.058878122,0.028975445,0.990486998,7686.198568541
aware,3.800000000,0.761117742,0.055563230,0.016146948,1.020850999,7689.535870382
aware,3.850000000,0.763826004,0.052767240,0.017836298,1.005458998,7685.476640916
aware,3.900000000,0.766368091,0.048916225,0.018271370,0.991843001,7681.309077724
aware,3.950000000,0.768732192,0.045647839,0.012727187,1.023476998,7701.951917679
aware,4.000000000,0.770942611,0.042768911,0.013426632,1.005903003,7681.312929658
aware,4.050000000,0.773002076,0.039609703,0.000457477,0.986035997,7683.782907893
aware,4.100000000,0.774913726,0.036856273,-0.006337623,1.002259000,7688.934636694
aware,4.150000000,0.776660846,0.033028551,0.003961330,1.040359002,7698.789488201
aware,4.200000000,0.778208780,0.028888777,0.002784170,0.989656997,7695.764934917
aware,4.250000000,0.779587684,0.026267390,-0.000554898,0.990336001,7684.931402566
aware,4.300000000,0.780839315,0.023797878,0.004626498,0.995431001,7675.843940460
aware,4.350000000,0.781965185,0.021236924,-0.003522016,1.021594999,7681.517768111
aware,4.400000000,0.782983363,0.019490160,0.001247537,1.069211001,7676.985236450
aware,4.450000000,0.783897371,0.017070184,-0.000357642,1.019571002,7688.551174888
aware,4.500000000,0.784709282,0.015406263,-0.002675107,1.001238001,7670.730008519
aware,4.550000000,0.785438152,0.013748520,-0.003755402,0.989648001,7673.006263330
aware,4.600000000,0.786082400,0.012021400,0.001228480,1.003575999,7668.556266564
aware,4.650000000,0.786641992,0.010362301,-0.001772279,1.006823000,7669.758677629
aware,4.700000000,0.787136095,0.009401782,0.007947893,1.023195997,7664.461358944
aware,4.750000000,0.787576807,0.008226710,0.000856176,0.995028000,7679.395804548
aware,4.800000000,0.787987409,0.008197390,0.010020318,0.997609000,7660.607192280
aware,4.850000000,0.788377979,0.007425383,0.011767059,0.999055999,7649.809585250
aware,4.900000000,0.788756070,0.007698268,0.010844952,0.996679999,7653.660394983
aware,4.950000000,0.789151680,0.008126145,0.013136448,0.978411997,7647.371770923
aware,5.000000000,0.789565135,0.008412056,0.005968162,1.007692001,7650.158692879
aware,5.050000000,0.789998159,0.008908877,0.012937455,1.005358001,7649.097141133
aware,5.100000000,0.790435871,0.008599629,-0.002099156,0.993547001,7662.355068980
aware,5.150000000,0.790877257,0.009055798,0.002202028,1.001098000,7646.338610979
aware,5.200000000,0.791300720,0.007882735,0.009287186,0.995327002,7637.402692592
aware,5.250000000,0.791679922,0.007285348,0.007095533,0.988504999,7634.952764859
aware,5.300000000,0.792049453,0.007495863,0.001297481,0.995146002,7640.122715193
aware,5.350000000,0.792423193,0.007453764,0.009474298,0.977182000,7631.832903948
aware,5.400000000,0.792779696,0.006806365,0.007014987,0.991032000,7634.534809201
aware,5.450000000,0.793127029,0.007086926,0.010591356,0.986415998,7603.049499244
aware,5.500000000,0.793481186,0.007079361,0.014816438,0.988191001,7602.833943180
